,percip_mm,humidity,temp,leafwet450_min,leafwet460_min,leafwet_lwscnt,gusts_ms,wind_dir,wind_ms
2013-11-23 16:00:00,,,,,,,,,
2013-11-23 18:00:00,,,,,,,,,
2013-11-23 20:00:00,,,,,,,,,
2013-11-23 22:00:00,,,,,,,,,
2013-11-28 00:00:00,0.0,0.419515936325,281.333333556,0.0,0.0,440.0,3.38222967585,125.25,3.03017601371
2013-11-28 02:00:00,0.0,0.422065084179,281.270833675,0.0,0.0,440.0,3.48281642795,124.5,3.15590946873
2013-11-28 04:00:00,0.0,0.369993997117,281.712500079,0.0,0.0,439.291666667,3.40318524837,124.333333333,3.08466054002
2013-11-28 06:00:00,0.0,0.382980345438,281.541666651,0.0,0.0,439.0,3.33612739046,126.916666667,3.05532274644
2013-11-28 08:00:00,0.0,0.377310103426,282.308333381,0.0,0.0,439.0,3.92707460125,120.916666667,3.62950547536
2013-11-28 10:00:00,0.0,0.347650087128,284.129166667,0.0,0.0,438.791666667,3.91031013926,121.583333333,3.53310979406
2013-11-28 12:00:00,0.0,0.33813838164,285.849999968,0.0,0.0,438.625,3.28164291382,125.416666667,2.85834029317
2013-11-28 14:00:00,0.0,0.337488560627,286.495833341,0.0,0.0,438.916666667,2.95054486394,127.958333333,2.59430006146
2013-11-28 16:00:00,0.0,0.35322353368,286.241666778,0.0,0.0,439.0,2.44761107365,134.0,2.17099751035
2013-11-28 18:00:00,0.0,0.357422739267,285.333333158,0.0,0.0,439.0,3.04274936517,123.125,2.70746016502
2013-11-28 20:00:00,0.0250000009934,0.354256808758,284.950000191,0.0,0.0,439.0,3.20201170444,126.083333333,2.91282482942
2013-11-28 22:00:00,0.05833333234,0.356653234611,284.783333365,0.0,0.0,439.0,3.59597657124,126.125,3.34870074193
2013-11-29 00:00:00,0.0083333334575,0.359888721257,284.39999996,0.0,0.0,439.0,3.8013411661,122.125,3.49538978934
2013-11-29 02:00:00,0.0,0.362886714439,284.275000079,0.0,0.0,439.0,3.79715005557,131.166666667,3.5247276028
2013-11-29 04:00:00,0.016666666915,0.365096339335,284.170833333,0.0,0.0,439.0,3.8725900948,129.375,3.53310982386
2013-11-29 06:00:00,0.0083333334575,0.36327231427,284.074999913,0.0,0.0,439.0,3.80553227663,134.041666667,3.524727573
2013-11-29 08:00:00,0.0,0.347005588313,284.924999897,0.0,0.0,438.208333333,3.26906957229,131.666666667,2.92120703061
2013-11-29 10:00:00,0.0,0.313102186968,287.183333301,0.0,0.0,437.333333333,2.80385583639,131.041666667,2.46856662631
2013-11-29 12:00:00,0.0,0.281884701302,288.737499897,0.0,0.0,437.0,2.85834031304,130.208333333,2.4098910292
2013-11-29 14:00:00,0.0,0.282455808172,288.887499952,0.0,0.0,437.291666667,2.84995811184,104.0,2.18357082705
2013-11-29 16:00:00,0.0,0.305433028688,287.674999976,0.0,0.0,438.0,1.56747695059,83.5833333333,1.047778707
2013-11-29 18:00:00,0.0,0.312366259595,286.845833524,0.0,0.0,438.083333333,0.825649633383,141.166666667,0.553227163851
2013-11-29 20:00:00,0.0,0.306681465358,286.783333405,0.0,0.0,438.0,1.13579212626,153.333333333,0.955574204525
2013-11-29 22:00:00,0.0,0.311280091604,286.991666698,0.0,0.0,438.0,0.750209563722,161.208333333,0.569991608461
2013-11-30 00:00:00,0.0,0.323769292484,286.80833358,0.0,0.0,438.041666667,0.720871760199,174.5,0.536462699373
2013-11-30 02:00:00,0.0,0.317366467168,286.783333524,0.0,0.0,438.083333333,0.402347025772,111.166666667,0.297569153209
2013-11-30 04:00:00,0.0,0.306760133555,286.766666754,0.0,0.0,438.0,0.704107289513,225.041666667,0.54065381363
2013-11-30 06:00:00,0.0,0.308132446061,286.537500048,0.0,0.0,438.0,0.968147526185,213.166666667,0.758591797204
2013-11-30 08:00:00,0.0,0.31116059795,286.800000056,0.0,0.0,437.833333333,1.34534786145,32.9166666667,1.17351215333
2013-11-30 10:00:00,0.0,0.295363369087,288.266666714,0.0,0.0,437.0,1.87342833976,49.5833333333,1.42917017639
2013-11-30 12:00:00,0.0,0.323359602442,288.541666571,0.0,0.0,437.041666667,2.08717517555,168.833333333,1.5842414101
2013-11-30 14:00:00,0.0,0.406851856659,287.991666738,0.0,0.0,437.75,1.63453479608,250.541666667,1.18189438184
2013-11-30 16:00:00,0.0,0.453568855921,285.879166627,0.0,0.0,438.833333333,1.26990780234,60.0833333333,0.972338651618
2013-11-30 18:00:00,0.0,0.513229423513,285.045833373,0.0,0.0,439.375,1.3034367164,133.916666667,1.02682314565
2013-11-30 20:00:00,0.0,0.622549389799,284.383333349,0.0,0.0,440.291666667,2.71584244569,319.666666667,2.33864210049
