"X","yield"
"2013-11-24 00:00:00",0
"2013-11-24 02:00:00",0
"2013-11-24 04:00:00",0
"2013-11-24 06:00:00",0
"2013-11-24 08:00:00",0
"2013-11-24 10:00:00",0
"2013-11-24 12:00:00",0
"2013-11-24 14:00:00",0
"2013-11-24 16:00:00",0
"2013-11-24 18:00:00",0
"2013-11-24 20:00:00",0
"2013-11-24 22:00:00",0
"2013-11-25 00:00:00",0
"2013-11-25 02:00:00",0
"2013-11-25 04:00:00",0
"2013-11-25 06:00:00",0
"2013-11-25 08:00:00",0
"2013-11-25 10:00:00",0
"2013-11-25 12:00:00",0
"2013-11-25 14:00:00",0
"2013-11-25 16:00:00",0
"2013-11-25 18:00:00",0
"2013-11-25 20:00:00",0
"2013-11-25 22:00:00",0
"2013-11-26 00:00:00",0
"2013-11-26 02:00:00",0
"2013-11-26 04:00:00",0
"2013-11-26 06:00:00",0
"2013-11-26 08:00:00",0
"2013-11-26 10:00:00",0
"2013-11-26 12:00:00",0
"2013-11-26 14:00:00",0
"2013-11-26 16:00:00",0
"2013-11-26 18:00:00",0
"2013-11-26 20:00:00",0
"2013-11-26 22:00:00",0
"2013-11-27 00:00:00",0
"2013-11-27 02:00:00",0
"2013-11-27 04:00:00",0
"2013-11-27 06:00:00",0
"2013-11-27 08:00:00",0
"2013-11-27 10:00:00",0
"2013-11-27 12:00:00",0
"2013-11-27 14:00:00",0
"2013-11-27 16:00:00",0
"2013-11-27 18:00:00",0
"2013-11-27 20:00:00",0
"2013-11-27 22:00:00",0
"2013-12-14 00:00:00",-0.786216972670843
"2013-12-14 02:00:00",-0.54191838483564
"2013-12-14 04:00:00",-0.673915172324428
"2013-12-14 06:00:00",-0.535084293708252
"2013-12-14 08:00:00",-0.300069146933993
"2013-12-14 10:00:00",0.683712443826266
"2013-12-14 12:00:00",1.39833924942093
"2013-12-14 14:00:00",0.472664869321875
"2013-12-14 16:00:00",0.261919348381014
"2013-12-14 18:00:00",0.862255070995445
"2013-12-14 20:00:00",2.47438890200283
"2013-12-14 22:00:00",20.7208405463134
"2013-12-15 00:00:00",0.198635027685668
"2013-12-15 02:00:00",104.427961565671
"2013-12-15 04:00:00",19.4551540098619
"2013-12-15 06:00:00",11.4858241988695
"2013-12-15 08:00:00",0.418994802836096
"2013-12-15 10:00:00",2.65751767174515
"2013-12-15 12:00:00",0.969471813826658
"2013-12-15 14:00:00",1.57574238085544
"2013-12-15 16:00:00",0.704189283620565
